Program/ Project Label,Program GEF_ID,Project GEF_ID,Projects In Common with the MFA portfolio,Projects In Common with the Biodiversity Portfolio,ProjectsIn Common with the Land Degradation portfolio,Agency,Lead agency,Secondary agency(ies),Region,Parent (Program) Geographic level,Country,List of participating countries,Focal Area,List of project's focal areas,Title,GEF replenishment phase,Type acronym,Status,Trust Fund acronym,Executing partner / agency,Type of executing partner / agency,Type acronym of parent (or empty if standalone),"Category (empty: standalone, parent, child)",GEF3 OP list,GEF4 SP list,GEF4 SP-ID list,GEF5 FA Objective list,Keyword ID list,Code of business plan allocation item,World Bank Trust Fund number,(Sum of all) Approved PPG(s),Project Preparation Grant (PPG),Project Development Facility block A (PDF-A),Project Development Facility block B (PDF-B),Project Development Facility block C (PDF-C),Pre-Investment Facility (PRIF),Agency fees paid separately for PPG,Agency fees paid separately for PDF-B,GEF Project Grant PIF stage,GEF project grant at CEO approve/endorse stage,GEF Project Grant CEO approve stage,GEF Project Grant CEO endorse stage,GEF Project Grant_FINAL,Agency Fee PIF stage,Agency Fee CEO approve stage,Agency Fee CEO endorse stage,Agency Fee_Final,Cofinance PIF stage,Cofinance CEO approve stage,Cofinance CEO endorse stage,Cofinance_FINAL,Date of receipt or first PMIS entry,PIF Clearance or PIF Approval Date,Expected date of entry into work program,Date of entry into work program,Date of project approval,Date of CEO approval (MSP / EA),Date of CEO endorsement (FSP),Date of dropping (before project approval),Date of cancelation (after project approval),Date of PIF rejection by CEO,Date of technical rejection by Program Manager,Date of rejection by CEO at CEO approve stage,Date of rejection by CEO at CEO endorse stage,Date of Parent / Program rejection by Council,Date of approval by Agency,Expected date of Grant signing,Actual date of Grant signing,Expected date of implementation start,Actual date of implementation start,Expected date of closure,Actual date of closure,Expected date of financial closure,Date of financial closure,Expected date of Internal Completion Report (ICR),Date of Internal Completion Report (ICR),Expected date of Parent endorsement by Council,Date of Parent endorsement by Council,Expected date of effectiveness,Date of effectiveness,Expected date of mid term review,Date of mid term review,PFD,PFD available in PMIS,PIR Status,MTRStatus,TTStatus,TEStatus,TERStatus
H1,3785,3575,Err:512,Err:512,Err:512,UNDP,UNDP,,AFR,,Guinea-Bissau,,Biodiversity,B,SPWA-BD: Support for the Consolidation of a Protected Area System in Guinea-Bissau's Forest Belt,GEF - 4,MSP,Under Implementation,GET,Institute for Protected Areas and Biodiversity (IBAP),Government,PAN,Child,,BD-3;,;3;,,,,,"50,000 ","50,000 ",,,,,,,"950,000 ","950,000 ","950,000 ",,"950,000 ","100,000 ","100,000 ",,"100,000 ","3,500,000 ","3,920,000 ",,"3,920,000 ",19-Dec-07,14-Jan-08,,,14-Jan-08,29-Apr-10,,,,,,,,,,,,30-Jun-10,9-Jul-10,30-Apr-16,,,,,,,,30-Nov-09,,30-Aug-14,28-Feb-16,,,Submitted,Submitted,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
H2,3785,3752,Err:512,Err:512,Err:512,UNDP,UNDP,,AFR,,Cabo Verde,,Biodiversity,B,SPWA-BD: Consolidation of Cape Verde's Protected Areas System,GEF - 4,FP,Under Implementation,GET,"General Directorate for the Environment, Ministry of Environment, Rural Development and Marine Resources (MADRRM)",Government,PAN,Child,,,,,,,,"100,000 ","100,000 ",,,,,"10,000 ",,"3,287,000 ","3,100,000 ",,"3,100,000 ","3,100,000 ","328,700 ",,"310,000 ","310,000 ","14,245,000 ",,"16,780,738 ","16,780,738 ",13-Aug-08,15-Sep-08,1-Nov-08,13-Nov-08,13-Nov-08,,7-Jun-10,,,,,,,,,,,30-Jun-10,4-Aug-10,31-Dec-14,,,,,,,,,,30-Aug-13,5-Jul-05,,,Submitted,Submitted,Terminal TT Not Submitted Yet,Not Submitted Yet,Not completed yet
H3,3785,3760,Err:512,3760,Err:512,UNDP,UNDP,,AFR,,Niger,,Biodiversity,B,SPWA-BD: Integrating the Sustainable Management of Faunal Corridors into Niger's Protected Area System,GEF - 4,FP,Under Implementation,GET,"Ministry of Water, Environment and of Desertification Control (MELD), General Directorate for the Environment, Water and Forestry (DGEEF)",Government,PAN,Child,,BD-3;,;3;,,,,,"69,000 ","69,000 ",,,,,"6,900 ",,"1,768,182 ","1,768,182 ",,"1,768,182 ","1,768,182 ","176,818 ",,"176,818 ","176,818 ","5,200,000 ",,"9,354,911 ","9,354,911 ",2-Sep-08,18-Sep-08,1-Nov-08,13-Nov-08,13-Nov-08,,24-Jan-11,,,,,,,,,,,30-Apr-11,23-Aug-11,1-Aug-16,,,,,,,,28-Feb-09,,30-May-15,,,,Submitted,Not Submitted Yet,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
H4,3785,3763,Err:512,Err:512,Err:512,UNDP,UNDP,,AFR,,Mali,,Biodiversity,B,SPWA-BD: Expansion and Strengthening of Mali's PA System,GEF - 4,FP,Under Implementation,GET,"Ministry of Environment & Sanitation (Direction Nationale de la Conservation de la Nature - DNCN), IUCN",Government,PAN,Child,,,,,,,,"64,500 ","64,500 ",,,,,"6,450 ",,"1,768,000 ","1,768,000 ",,"1,768,000 ","1,768,000 ","176,800 ",,"176,800 ","176,800 ","3,950,000 ",,"9,249,631 ","9,249,631 ",2-Sep-08,18-Sep-08,1-Nov-08,13-Nov-08,13-Nov-08,,5-Aug-10,,,,,,,,,,,30-Aug-10,23-Dec-10,15-Jun-15,,,,,,,,28-Feb-10,,30-Aug-14,30-Jun-15,,,Submitted,Submitted,Terminal TT Not Submitted Yet,Not Submitted Yet,Not completed yet
H5,3785,3770,Err:512,3770,Err:512,UNDP,UNDP,,AFR,,Benin,,Biodiversity,B,SPWA-BD: Incorporation of Sacred Forests into the Protected Areas System of Benin,GEF - 4,MSP,Project Completion,GET,"): Ministry of Environment and Nature Protection (MEPN), General Directorate of Forests and Natural Resources (DGFRN); Additional partners: local NGO partners",Government,PAN,Child,,BD-3;BD-4;,;3;4;,,,,,"50,000 ","50,000 ",,,,,"5,000 ",,"950,000 ","950,000 ","950,000 ",,"950,000 ","95,000 ","95,000 ",,"95,000 ","4,070,000 ","5,636,608 ",,"5,636,608 ",8-Sep-08,8-Jul-09,,,8-Jul-09,27-Jul-10,,,,,,,,,,,,31-Oct-10,28-Jan-11,30-Apr-14,30-Apr-14,,,,,,,,,not required,N/A,,,Submitted,N/A,Terminal TT Not Submitted Yet,Not Yet,Not completed yet
H6,3785,3781,Err:512,Err:512,Err:512,UNEP,UNEP,,AFR,,Regional,"Gambia, Mali, Sierra Leone, Chad, Togo",Biodiversity,B,SPWA-BD: Evolution of PA systems with regard to climate change in the West Africa Region ,GEF - 4,FP,Under Implementation,GET,"WCMC, Ministries of Environment and Natural resources & other partners",Multilateral,PAN,Child,,,,,,,,"100,000 ","100,000 ",,,,,"10,000 ",,"3,636,364 ","3,536,363 ",,"3,536,363 ","3,536,363 ","353,636 ",,"353,636 ","353,636 ","10,000,000 ",,"12,119,471 ","12,119,471 ",11-Sep-08,28-Oct-08,1-Jan-09,27-Jan-09,27-Jan-09,,30-Jul-10,,,,,,,,,,,30-Aug-10,1-Oct-10,31-Dec-15,,,,,,,,,,30-Dec-12,,,,Submitted,N/A,N/A,N/A,
H7,3785,3817,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Guinea-Bissau,,Biodiversity,B,SPWA-BD: Guinea Bissau Biodiversity Conservation Trust Fund Project,GEF - 4,MSP,Project Completion,GET,Institute for Biodiversity and Protected Areas (IBAP),Institute,PAN,Child,,BD-1;BD-2;,;1;2;,,,,,0 ,,,,,,,,"950,000 ","950,000 ","950,000 ",,"950,000 ","95,000 ","95,000 ",,"95,000 ","2,900,000 ","2,794,387 ",,"2,794,387 ",8-Oct-08,17-Nov-08,,,17-Nov-08,13-Jul-10,,,,,,,,,,,,30-Aug-10,17-Mar-11,28-Feb-14,28-Feb-14,,,,,,,,,,,,,Submitted,N/A,Submitted,Submitted,
H8,3785,3836,Err:512,3836,Err:512,World Bank,World Bank,,AFR,,Ghana,,Biodiversity,B,SPWA-BD: Management of Riparian Biological Corridors,GEF - 4,MSP,Under Implementation,GET,"Ministry of Land, and Natural Resources",Government,PAN,Child,,BD-3;,;3;,,,,,0 ,,,,,,,,"1,000,000 ","1,000,000 ","1,000,000 ",,"1,000,000 ","100,000 ","100,000 ",,"100,000 ","5,100,000 ","6,100,000 ",,"6,100,000 ",24-Oct-08,19-Dec-08,,,19-Dec-08,3-Sep-10,,,,,,,,,30-Nov-10,,,30-Nov-10,9-Mar-10,28-Feb-18,,,,,,,,,,30-May-12,31-Jan-14,,,N/A,N/A,N/A,N/A,N/A
H9,3785,3837,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Liberia,,Biodiversity,B,SPWA-BD: Biodiversity Conservation through Expanding the Protected Area Network in Liberia (EXPAN),GEF - 4,MSP,Project Completion,GET,Forestry Development Authority in collaboration with the Liberia Forestry Initiative,Government,PAN,Child,-3-,,,,,,,0 ,,,,,,,,"950,000 ","950,000 ","950,000 ",,"950,000 ","95,000 ","95,000 ",,"95,000 ","9,168,000 ","9,288,000 ",,"9,288,000 ",24-Oct-08,17-Nov-08,,,17-Nov-08,22-Apr-10,,,,,,,,,,,,31-Jul-10,15-Mar-11,30-Jun-15,30-Jun-15,,,,,,,,,31-Jul-12,,,,Submitted,N/A,Submitted,Submitted,
H10,3785,3961,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Gambia,,Biodiversity,B,SPWA-BD: The Gambia Biodiversity Management and Institutional Strengthening Project,GEF - 4,MSP,Project Completion,GET,Department of Parks and Wildlife Management,Government,PAN,Child,,BD-2;BD-1;,;2;1;,,,,,"50,660 ","50,660 ",,,,,"5,066 ",,"945,000 ","945,000 ","945,000 ",,"945,000 ","94,500 ","94,500 ",,"94,500 ","1,258,876 ","1,258,876 ",,"1,258,876 ",10-Apr-09,19-Aug-09,,,19-Aug-09,13-Sep-10,,,,,,,,,,,,30-Nov-10,21-Mar-11,31-May-14,31-May-14,,,,,,,,,,,,,Submitted,N/A,Submitted,Submitted,
H11,3785,3984,Err:512,3984,Err:512,FAO,FAO,,AFR,,Regional,"Cote d'Ivoire, Ghana",Biodiversity,B,SPWA-BD: Development of a Trans-frontier Conservation Area Linking Forest Reserves and Protected Areas in Ghana and Cote d'Ivoire,GEF - 4,MSP,Under Implementation,GET,Forestry Commission (Ghana); SODEFOR ( Cote d'Ivoire); and WWF (West Africa Office),NGO,PAN,Child,,BD-3;,;3;,,,,,"50,000 ","50,000 ",,,,,"5,000 ",,"859,090 ","859,000 ","859,000 ",,"859,000 ","85,910 ","85,900 ",,"85,900 ","1,200,000 ","1,597,000 ",,"1,597,000 ",21-Apr-09,16-Sep-09,,,16-Sep-09,10-Sep-12,,,,,,,,,,,,1-Jul-12,15-Jul-13,30-May-16,,,,,,,,,,1-Jul-14,,,,Submitted,Submitted,Submitted,N/A,
H12,3785,4026,Err:512,Err:512,Err:512,UNDP,UNDP,,AFR,,Togo,,Biodiversity,B,SPWA-BD: Strengthening the Conservation Role of Togo's National System of Protected Areas (PA),GEF - 4,FP,Under Implementation,GET,"Ministry of Environment and Forestry ( Directorate of Wildlife and Hunting), assisted by IUCN.  ",Government,PAN,Child,,BD-1;BD-3;,;1;3;,,,,,"50,527 ","50,527 ",,,,,"5,053 ",,"1,222,200 ","1,222,200 ",,"1,222,200 ","1,222,200 ","122,220 ",,"122,220 ","122,220 ","3,000,000 ",,"6,100,000 ","6,100,000 ",6-Jul-09,13-Jul-09,30-Nov-09,12-Nov-09,12-Nov-09,,24-Jan-11,,,,,,,,,,,1-Jun-11,29-Jun-11,29-Jun-16,,,,,,,,,,31-Dec-13,,,,Submitted,Submitted,Submitted,N/A,N/A
H13,3785,4075,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Benin,,Biodiversity,B,SPWA-BD: Support to Protected Areas Management,GEF - 4,FP,Under Implementation,GET,CENAGREF,Government,PAN,Child,,BD-1;BD-3;,;1;3;,,,,,0 ,,,,,,,,"1,900,500 ","1,900,000 ",,"1,900,000 ","1,900,000 ","190,050 ",,"190,000 ","190,000 ","9,675,000 ",,"7,400,000 ","7,400,000 ",28-Aug-09,9-Sep-09,30-Nov-09,12-Nov-09,12-Nov-09,,14-Mar-11,,,,,,,,,,,30-Jun-11,4-Oct-11,31-Dec-17,,,,,,,,,,30-Dec-14,,,,Submitted,N/A,N/A,N/A,N/A
H14,3785,4080,4080,Err:512,Err:512,UNDP,UNDP,,AFR,,Senegal,,Multi Focal Area,M;B;C;,SPWA-BD: Participatory Biodiversity Conservation and Low Carbon Development in Pilot Ecovillages in Senegal,GEF - 4,FP,Under Implementation,GET,National Ecovillage Agency (ANEV),Government,PAN,Child,,BD-3;CC-4;CC-6;,;3;12;14;,,,,,"120,000 ","120,000 ",,,,,"12,000 ",,"2,880,000 ","2,880,000 ",,"2,880,000 ","2,880,000 ","288,000 ",,"288,000 ","288,000 ","12,700,000 ",,"13,176,900 ","13,176,900 ",1-Sep-09,9-Sep-09,20-Nov-09,12-Nov-09,12-Nov-09,,30-Jun-11,,,,,,,,,,,31-Oct-11,24-Oct-11,29-Sep-16,,,,,,,,,,30-Jun-14,31-Jan-15,,,Submitted,Not Submitted Yet,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
H15,3785,4090,Err:512,4090,Err:512,UNDP,UNDP,,AFR,,Nigeria,,Biodiversity,B,SPWA-BD: Niger Delta Biodiversity Project,GEF - 4,FP,Under Implementation,GET,"Federal Ministry of Environment, Housing and Urban Development",Government,PAN,Child,,BD-4;,;4;,,,,,"147,000 ","147,000 ",,,,,"14,700 ",,"3,610,000 ","3,610,000 ",,"3,610,000 ","3,610,000 ","361,000 ",,"361,000 ","361,000 ","6,150,000 ",,"10,650,000 ","10,650,000 ",8-Sep-09,9-Sep-09,20-Nov-09,12-Nov-09,12-Nov-09,,12-May-11,,,,,,,,26-Sep-12,,,30-Jun-11,26-Sep-12,30-May-16,,,,,,,,,,30-Jun-16,,,,Submitted,Not Submitted Yet,Midterm TT Not Submitted Yet,Not Submitted Yet,Not completed yet
H16,3785,4105,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,,Sierra Leone,,Biodiversity,B,SPWA-BD: Wetlands Conservation Project,GEF - 4,FP,Under Implementation,GET,"Ministry of Agriculture, Forestry and Food Security (MAFFS)",Government,PAN,Child,,BD-2;,;2;,,,,,0 ,,,,,,,,"1,800,000 ","1,800,000 ",,"1,800,000 ","1,800,000 ","180,000 ",,"180,000 ","180,000 ","2,000,000 ",,"3,380,000 ","3,380,000 ",15-Sep-09,21-Jan-10,31-Mar-10,17-Mar-10,17-Mar-10,,27-Jan-11,,,,,,,,,,,1-Jun-11,1-Jun-11,31-Mar-16,,,,,,,,,,1-Dec-13,31-Oct-14,,,Submitted,N/A,N/A,N/A,N/A
H17,3785,4169,Err:512,4169,Err:512,World Bank,World Bank,,AFR,,Regional,Africa,Biodiversity,B,SPWA-BD: Scaling up the impacts of goods practices in linking poverty alleviation and biodiversity conservation,GEF - 4,MSP,Project Completion,GET,"IUCN, ECOWAS",NGO,PAN,Child,,BD-4;BD-3;,;4;3;,,,,,0 ,,,,,,,,"900,000 ","900,000 ","900,000 ",,"900,000 ","90,000 ","90,000 ",,"90,000 ","1,100,000 ","1,140,000 ",,"1,140,000 ",12-Nov-09,11-Jan-10,,,11-Jan-10,15-Jul-10,,,,,,,,,,,,30-Sep-10,1-Mar-11,28-Feb-15,28-Feb-15,,,,,,,,,21-Oct-12,,,,Submitted,Submitted,N/A,Submitted,N/A
H18,3785,4221,Err:512,4221,Err:512,UNDP,UNDP,,AFR,,Burkina Faso,,Biodiversity,B,SPWA-BD: Protected Area Buffer Zone Management in Burkina Faso,GEF - 4,MSP,Under Implementation,GET,Ministry of Environment and Sustainable Development,Government,PAN,Child,,BD-3;,;3;,,,,,"49,000 ","49,000 ",,,,,"4,900 ",,"860,000 ","860,000 ","860,000 ",,"860,000 ","86,000 ","86,000 ",,"86,000 ","3,090,000 ","7,716,127 ",,"7,716,127 ",28-Jan-10,16-Mar-10,,,16-Mar-10,30-Jun-11,,,,,,,,,,,,30-Sep-11,5-Jun-13,31-Mar-15,,,,,,,,,,not required,N/A,,,Submitted,N/A,Terminal TT Not Submitted Yet,Not Submitted Yet,Not completed yet
I,3926,3926,Err:512,Err:512,Err:512,"UNDP, FAO, ADB",UNDP,,Asia,Country,China,,Biodiversity,B,CBPF China Biodiversity Partnership and Framework for Action  ,GEF - 4,FP,Council Approved,GET,,GEF Agency,PAN,Parent,,,,,,,,"2,212,000 ",,,,,,,,"37,150,145 ","36,296,587 ",0 ,"36,296,587 ","36,296,587 ","3,906,215 ",0 ,"3,820,338 ","3,820,338 ","792,570,700 ",0 ,"745,124,752 ","745,124,752 ",24-Mar-09,9-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,,,,,,,,,,,,31-Jul-09,,31-Aug-14,,,,,,1-Nov-07,16-Nov-07,,,31-Dec-12,,submitted,No,N/A,N/A,N/A,N/A,
I1,3926,2127,Err:512,Err:512,Err:512,FAO,FAO,,CEX,,Global,"Chile, China, Algeria, Peru, Philippines, Tunisia",Biodiversity,B,CBPF: Conservation and Adaptive Management of Globally Important Agricultural Heritage Systems (GIAHS),GEF - 4,FP,Project Completion,GET,Algeria: Ministère de l’aménagement du territoire et de l’environnement ; Chile: Centro de Tecnología y Educación /CET ; China: Ministry of Agriculture/MOA ; Peru: National Environmental Council /CONAMA. (see Remarks for other executing agencies),Government,PAN,Child,-13-,BD-2;,;2;,,,,,"725,000 ",,"25,000 ","700,000 ",,,,,"3,500,000 ","3,500,000 ",,"3,500,000 ","3,500,000 ","422,500 ",,"422,500 ","422,500 ","14,500,000 ",,"14,446,872 ","14,446,872 ",19-May-03,,1-Jun-07,14-Jun-07,14-Jun-07,,10-Jun-08,,,,,,,,4-Aug-08,,,,7-Jul-08,30-Jun-13,30-Jun-14,,,,,,,,4-Aug-08,31-Dec-12,30-Sep-12,,,Submitted,Submitted,Submitted,Submitted,N/A
I2,3926,2435,Err:512,2435,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF: Priority Institutional Strengthening and Capacity Development to Implement the China Biodiversity Partnership and Framework for Action,GEF - 4,FP,Under Implementation,GET,Ministry of Finance (MOF) and State Environmental Protection Administration (SEPA),Government,PAN,Child,-1-2-3-4-13-,BD-4;,;4;,,,,,"350,000 ",,,"350,000 ",,,,,"4,540,000 ","4,508,182 ",,"4,508,182 ","4,508,182 ","489,000 ",,"485,818 ","485,818 ","15,100,000 ",,"18,240,000 ","18,240,000 ",30-Jan-04,9-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,19-Nov-09,,,,,,,,14-May-10,,,31-Jan-10,14-May-10,31-Jan-15,N/A,,,31-Dec-15,,,,,,31-Dec-13,17-Sep-13,,,Submitted,Submitted,N/A,N/A,N/A
I3,3926,2766,Err:512,2766,Err:512,ADB,ADB,,Asia,,China,,Biodiversity,B,CBPF: Integrated Ecosystem and Water Resources Management in the Baiyangdian Basin,GEF - 4,FP,Under Implementation,GET,"Development and Reform Commission (DRC) of the Baoding Municipallity, Hebei Province, PRC",Government,PAN,Child,-2-4-12-,BD-1;BD-2;,;1;2;,,,,,"207,000 ",,,"207,000 ",,,,,"2,975,000 ","2,975,000 ",,"2,975,000 ","2,975,000 ","318,200 ",,"318,000 ","318,000 ","276,116,000 ",,"246,930,000 ","246,930,000 ",8-Apr-05,5-Feb-08,1-Jun-08,1-Jun-08,28-Jul-08,,23-Feb-10,,,,,,,,30-Oct-09,,23-Jun-10,31-Jan-10,23-Jun-10,31-Jul-17,,,,,,,,,,25-Jun-13,25-Jun-13,,,Submitted,Submitted,Submitted,N/A,N/A
I4,3926,2787,Err:512,2787,Err:512,ADB,ADB,,Asia,,China,,Biodiversity,B,CBPF: Shaanxi Qinling Mountains Integrated Ecosystem Development,GEF - 4,FP,Under Implementation,GET,Asian Development Bank (ADB),Multilateral,PAN,Child,,BD-1;BD-2;BD-4;SGP-1;,;1;2;4;28;,,,,,"280,000 ","280,000 ",,,,,,,"4,270,000 ","4,270,000 ",,"4,270,000 ","4,270,000 ","455,000 ",,"455,000 ","455,000 ","126,200,000 ",,"128,370,000 ","128,370,000 ",8-Apr-05,5-Oct-07,1-Nov-07,1-Nov-07,16-Nov-07,,17-Jul-09,,,,,,,,22-Oct-09,,2-Jul-10,30-Sep-09,15-Oct-10,31-Oct-17,,,,,,,,,,31-Dec-99,25-Aug-14,,,Submitted,Submitted,Submitted,N/A,N/A
I5,3926,2788,Err:512,2788,Err:512,ADB,ADB,,Asia,,China,,Biodiversity,B,CBPF: Ningxia Integrated Ecosystem and Agricultural Development Project,GEF - 4,FP,Under Implementation,GET,Foreign Debt Mgt Office Ningxia Hui Autonomous Region,Government,PAN,Child,-1-,BD-4;BD-3;BD-1;,;4;3;1;,,,,,"350,000 ",,,"350,000 ",,,,,"5,000,000 ","4,545,460 ",,"4,545,460 ","4,545,460 ","535,000 ",,"489,546 ","489,546 ","210,730,000 ",,"210,997,600 ","210,997,600 ",8-Apr-05,,1-Jul-07,1-Jul-07,5-Sep-07,,25-Jul-08,,,,,,,,29-Aug-08,,6-Mar-09,,3-Jun-09,30-Apr-16,,,,,,,,,,20-Oct-12,20-Oct-12,,,Submitted,Submitted,Submitted,N/A,N/A
I6,3926,3465,Err:512,3465,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF: Conservation and Sustainable Use of Biodiversity in the Headwaters of the Huaihe River Basin,GEF - 4,FP,Project Completion,GET,Xinyang Municipal Government; Foreign Economic Cooperation Office of China State Environmental Protection Administration; Henan Provincial Finance Bureau,Government,PAN,Child,-2-,BD-1;,;1;,,,,,0 ,,,,,,,,"2,727,200 ","2,730,000 ",,"2,730,000 ","2,730,000 ","272,720 ",,"272,720 ","272,720 ","10,355,000 ",,"10,350,000 ","10,350,000 ",,5-Oct-07,1-Nov-07,16-Nov-07,16-Nov-07,,21-Jan-09,,,,,,,,,,,28-Feb-09,2-Jun-09,30-Jun-13,30-Jun-14,,,31-Dec-14,,,,,,31-Dec-12,30-May-12,,,Submitted,Submitted,Submitted,Submitted,
I7,3926,3670,Err:512,Err:512,Err:512,ADB,ADB,,Asia,,China,,Biodiversity,B,CBPF: Jiangsu Yancheng Wetlands System Protection ,GEF - 4,FP,Under Implementation,GET,Yancheng Municipal government,Government,PAN,Child,,BD-1;BD-7;,;1;7;,,,,,0 ,,,,,,,,"2,500,000 ","2,250,000 ",,"2,250,000 ","2,250,000 ","250,000 ",,"225,000 ","225,000 ","100,000,000 ",,"76,390,000 ","76,390,000 ",28-Feb-08,26-Jan-10,31-Mar-10,31-Mar-10,17-Mar-10,,30-Apr-12,,,,,,,,18-Sep-12,,31-Oct-13,1-Jun-12,12-Oct-12,31-Dec-17,,,,,,,,,,1-Mar-16,,,,Submitted,N/A,N/A,N/A,
I8,3926,3706,Err:512,Err:512,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF: Emergency Biodiversity Conservation Measures for the Recovery and Reconstruction of Wenchuan Earthquake Hit Regions in Sichuan Province,GEF - 4,MSP,Project Completion,GET,Ministry of Environmental Protection,Government,PAN,Child,,BD-1;BD-2;,;1;2;,,,,,0 ,,,,,,,,"909,000 ","909,000 ",,"909,000 ","909,000 ","90,900 ",,"90,900 ","90,900 ","1,926,200 ",,"1,926,200 ","1,926,200 ",13-Jun-08,23-Jun-08,,,23-Jun-08,5-Sep-08,,,,,,,,,,,,,16-Dec-08,31-Oct-10,31-Oct-10,,,,,,,,,MTR not expected,,,,Submitted,N/A,N/A,Submitted,
I9,3926,3864,Err:512,Err:512,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF: Strengthening Globally Important Biodiversity Conservation Through Protected Area Strengthening in Gansu Province,GEF - 4,FP,Project Completion,GET,Gansu Provincial Government,Government,PAN,Child,,,,,,,,"80,000 ","80,000 ",,,,,"8,000 ",,"1,738,000 ","1,738,000 ",,"1,738,000 ","1,738,000 ","173,800 ",,"173,800 ","173,800 ","7,280,000 ",,"7,280,000 ","7,280,000 ",,2-Apr-09,1-Nov-09,12-Nov-09,12-Nov-09,,22-Jun-10,,,,,,,,,,,30-Nov-10,18-Jan-11,31-Dec-14,17-Jan-15,,,,,,,30-Apr-10,,30-Sep-12,9-Jun-13,,,Submitted,Submitted,Submitted,Submitted,
I10,3926,3992,Err:512,Err:512,Err:512,UNDP,UNDP,,Asia,,China,,Biodiversity,B,CBPF: Strengthening the Effectiveness of the Protected Area System in Qinghai Province,GEF - 4,FP,Under Implementation,GET,"Qinghai Finance Bureau, Qinghai Provincial Government",Government,PAN,Child,,BD-1;,;1;,,,,,"100,000 ","100,000 ",,,,,"10,000 ",,"5,354,545 ","5,354,545 ",,"5,354,545 ","5,354,545 ","535,455 ",,"535,454 ","535,454 ","18,500,000 ",,"18,349,000 ","18,349,000 ",23-Apr-09,15-Oct-09,31-Mar-10,17-Mar-10,17-Mar-10,,5-Apr-12,,,,,,,,14-Sep-12,,,31-Jul-12,14-Sep-12,30-Nov-17,N/A,,,,,,,,,30-Apr-15,30-Jun-15,,,Submitted,Submitted,Submitted,N/A,
I11,3926,4175,Err:512,4175,Err:512,FAO,FAO,,Asia,,China,,Biodiversity,B,"CBPF: Demonstration of Estuarine Biodiversity Conservation, Restoration, and Protected Area Networking ",GEF - 4,FP,CEO Endorsed,GET,State Oceanic Administration of China: Guandong Provincial Bureau of Ocean and Fisheries; Shendong Provincial Bureau of Ocean and Fisheries,Government,PAN,Child,,,,,,,,"120,000 ","120,000 ",,,,,"12,000 ",,"3,636,400 ","3,516,400 ",,"3,516,400 ","3,516,400 ","363,640 ",,"351,600 ","351,600 ","11,863,500 ",,"11,845,080 ","11,845,080 ",19-Nov-09,25-Jan-10,31-Mar-10,17-Mar-10,17-Mar-10,,22-Feb-13,,,,,,,,,,,30-Nov-12,N/A,30-Oct-17,,,,,,,,,,30-Jun-15,,,,Due,N/A,N/A,N/A,N/A
J,4511,4511,Err:512,Err:512,Err:512,World Bank,World Bank,,AFR,Regional,Regional,"Burkina Faso, Benin, Ethiopia, Ghana, Mali, Mauritania, Niger, Nigeria, Sudan, Senegal, Chad, Togo",Multi Focal Area,M;B;C;L;M;,GGW Sahel and West Africa Program in Support of the Great Green Wall Initiative,GEF - 5,FP,Council Approved,MTF,"Governments of participant countries, Regional Centers of Excellence",Government,PAS,Parent,,,,LD-3; LD-3; CCA-1; CCA-1; CCA-2; CCA-2; CCM-3; CCM-5; BD-1; BD-2; SFM/REDD+-1; ,,,,0 ,,,,,,,,"100,759,260 ",,,,"100,759,260 ","8,060,741 ","7,825,539 ","7,825,539 ","7,825,539 ","1,810,000,000 ",,,"1,810,000,000 ",30-Mar-11,15-Apr-11,26-May-11,26-May-11,26-May-11,,,,,,,,,,,,,,,,,,,,,26-May-11,,,,,,submitted,Yes,N/A,N/A,N/A,N/A,
J1,4511,4709,Err:512,Err:512,4709,World Bank,World Bank,,AFR,,Togo,,Multi Focal Area,M;B;C;L;M;,GGW: Integrated Disaster and Land Management (IDLM) Project,GEF - 5,FP,Under Implementation,MTF,Ministry of Environment and Forest Resources,Government,PAS,Child,,,,LD-3; CCA-2; CCA-2; BD-1; SFM/REDD+-1; ,,,,0 ,,,,,,,,"9,157,407 ","9,157,407 ",,"9,157,407 ","9,157,407 ","732,593 ",,"732,593 ","732,593 ","55,290,000 ",,"55,290,000 ","55,290,000 ",31-Oct-11,,,26-May-11,26-May-11,,21-Nov-11,,,,,,,,20-Dec-11,,,,19-Sep-12,30-Jun-17,,,,,,,,,,,,,,Submitted,N/A,N/A,N/A,N/A
